date,sentiment,responses
2015-09-17,positive,10
2015-09-18,negative,10
2015-09-18,neutral,15
2015-09-18,positive,15
2015-09-19,negative,5
2015-09-19,neutral,4
2015-09-20,neutral,2
2015-09-21,negative,2
2015-09-21,neutral,4
2015-09-21,positive,4
2015-09-22,neutral,10
2015-09-22,positive,2
2015-09-23,negative,2
2015-09-23,neutral,22
2015-09-23,positive,2
2015-09-24,negative,7
2015-09-24,neutral,42
2015-09-24,positive,7
2015-09-25,negative,14
2015-09-25,neutral,42
2015-09-26,negative,3
2015-09-26,neutral,3
2015-09-27,neutral,3
2015-09-28,neutral,6
2015-09-28,positive,3
2015-09-29,neutral,18
2015-09-29,positive,6
2015-09-30,negative,6
2015-09-30,neutral,12
2015-10-01,negative,8
2015-10-01,neutral,16
2015-10-01,positive,4
2015-10-02,negative,8
2015-10-02,neutral,16
2015-10-03,positive,4
2015-10-04,neutral,4
2015-10-04,positive,4
2015-10-05,neutral,11
2015-10-06,neutral,18
2015-10-07,negative,3
2015-10-07,neutral,12
2015-10-07,positive,6
2015-10-08,neutral,15
2015-10-08,positive,9
2015-10-09,negative,3
2015-10-09,neutral,6
2015-10-09,positive,6
2015-10-10,neutral,3
2015-10-11,neutral,6
2015-10-12,neutral,9
2015-10-12,positive,3
2015-10-13,negative,6
2015-10-13,neutral,10
2015-10-14,negative,2
2015-10-14,neutral,4
2015-10-15,negative,12
2015-10-15,neutral,44
2015-10-15,positive,18
2015-10-16,neutral,48
2015-10-16,positive,8
2015-10-17,negative,8
2015-10-17,neutral,24
2015-10-18,neutral,8
2015-10-19,neutral,12
2015-10-20,negative,12
2015-10-20,neutral,3
2015-10-20,positive,6
2015-10-21,negative,3
2015-10-21,neutral,12
2015-10-21,positive,6
2015-10-22,negative,6
2015-10-22,neutral,6
2015-10-22,positive,3
2015-10-23,negative,3
2015-10-23,neutral,9
2015-10-23,positive,3
2015-10-24,neutral,3
2015-10-26,negative,3
2015-10-26,neutral,6
2015-10-27,neutral,18
2015-10-27,positive,3
2015-10-28,negative,7
2015-10-28,neutral,12
2015-10-28,positive,12
2015-10-29,negative,12
2015-10-29,positive,8
2015-10-30,negative,4
2015-10-30,neutral,16
2015-10-30,positive,4
2015-10-31,negative,4
2015-11-02,negative,8
2015-11-02,neutral,4
2015-11-03,negative,4
2015-11-03,neutral,8
2015-11-03,positive,4
2015-11-04,negative,8
2015-11-04,neutral,12
2015-11-04,positive,4
2015-11-05,neutral,24
2015-11-06,neutral,13
2015-11-07,neutral,6
2015-11-08,neutral,3
2015-11-09,negative,3
2015-11-09,neutral,3
2015-11-09,positive,3
2015-11-10,negative,3
2015-11-10,neutral,9
2015-11-10,positive,6
2015-11-11,neutral,12
2015-11-12,negative,5
2015-11-12,neutral,10
2015-11-12,positive,5
2015-11-13,negative,5
2015-11-13,neutral,10
2015-11-17,neutral,5
2015-11-17,positive,10
2015-11-18,negative,5
2015-11-18,neutral,10
2015-11-19,neutral,20
2015-11-19,positive,5
2015-11-20,neutral,12
2015-11-20,positive,2
2015-11-21,negative,2
2015-11-21,neutral,2
2015-11-22,neutral,2
2015-11-23,negative,2
2015-11-23,neutral,6
2015-11-23,positive,2
2015-11-24,negative,8
2015-11-24,neutral,8
2015-11-25,negative,18
2015-11-25,neutral,12
2015-11-25,positive,12
2015-11-26,negative,12
2015-11-26,neutral,12
2015-11-26,positive,6
2015-11-27,negative,6
2015-11-27,positive,6
2015-11-28,neutral,6
2015-11-29,neutral,3
2015-11-29,positive,12
2015-11-30,negative,3
2015-11-30,neutral,6
2015-11-30,positive,9
2015-12-01,neutral,18
2015-12-02,negative,3
2015-12-02,neutral,9
2015-12-03,negative,7
2015-12-03,neutral,15
2015-12-03,positive,11
2015-12-04,negative,12
2015-12-04,neutral,4
2015-12-04,positive,8
2015-12-05,neutral,12
2015-12-06,positive,4
2015-12-07,negative,2
2015-12-07,neutral,2
2015-12-07,positive,4
2015-12-08,negative,4
2015-12-08,neutral,8
2015-12-08,positive,2
2015-12-09,negative,2
2015-12-09,neutral,10
2015-12-09,positive,4
2015-12-10,negative,7
2015-12-10,neutral,16
2015-12-10,positive,16
2015-12-11,negative,7
2015-12-11,neutral,21
2015-12-11,positive,7
2015-12-12,neutral,14
2015-12-12,positive,14
2015-12-13,neutral,7
2015-12-14,negative,2
2015-12-14,neutral,4
2015-12-15,neutral,12
2015-12-15,positive,2
2015-12-16,negative,2
2015-12-16,neutral,6
2015-12-16,positive,2
2015-12-17,negative,6
2015-12-17,neutral,11
2015-12-17,positive,3
2015-12-18,negative,6
2015-12-18,neutral,6
2015-12-18,positive,9
2015-12-19,neutral,9
2015-12-20,negative,3
2015-12-21,neutral,5
2015-12-21,positive,3
2015-12-22,neutral,10
2015-12-22,positive,5
2015-12-23,neutral,10
2015-12-24,neutral,5
2015-12-24,positive,5
2015-12-25,positive,2
2015-12-26,positive,14
2015-12-28,neutral,7
