date,sentiment,responses
2017-05-17,negative,14
2017-05-17,neutral,67
2017-05-17,positive,37
2017-05-18,negative,5
2017-05-18,neutral,28
2017-05-18,positive,20
2017-05-19,negative,6
2017-05-19,neutral,30
2017-05-19,positive,17
2017-05-20,neutral,5
2017-05-22,negative,5
2017-05-22,neutral,25
2017-05-22,positive,15
2017-05-23,neutral,40
2017-05-23,positive,5
2017-05-24,negative,10
2017-05-24,neutral,29
2017-05-24,positive,22
2017-05-25,negative,4
2017-05-25,neutral,16
2017-05-25,positive,6
2017-05-26,negative,5
2017-05-26,neutral,34
2017-05-26,positive,15
2017-05-27,positive,5
2017-05-29,negative,12
2017-05-29,neutral,17
2017-05-29,positive,10
2017-05-30,neutral,17
2017-05-30,positive,16
2017-05-31,negative,5
2017-05-31,neutral,35
2017-05-31,positive,20
2017-06-01,negative,12
2017-06-01,neutral,24
2017-06-01,positive,8
2017-06-02,negative,4
2017-06-02,neutral,36
2017-06-02,positive,20
2017-06-03,positive,8
2017-06-05,negative,4
2017-06-05,neutral,20
2017-06-05,positive,2
2017-06-06,negative,2
2017-06-06,neutral,16
2017-06-06,positive,15
2017-06-07,neutral,70
2017-06-07,positive,35
2017-06-08,negative,3
2017-06-08,neutral,21
2017-06-08,positive,3
2017-06-09,negative,9
2017-06-09,neutral,18
2017-06-09,positive,9
2017-06-10,neutral,3
2017-06-12,negative,3
2017-06-12,neutral,21
2017-06-12,positive,6
2017-06-13,neutral,24
2017-06-13,positive,9
2017-06-14,neutral,34
2017-06-14,positive,12
2017-06-15,negative,8
2017-06-15,neutral,8
2017-06-15,positive,16
2017-06-16,negative,12
2017-06-16,neutral,20
2017-06-17,neutral,6
2017-06-17,positive,3
2017-06-18,neutral,3
2017-06-19,negative,7
2017-06-19,neutral,20
2017-06-19,positive,24
2017-06-20,negative,28
2017-06-20,neutral,32
2017-06-20,positive,16
2017-06-21,negative,8
2017-06-21,neutral,4
2017-06-21,positive,10
2017-06-22,negative,5
2017-06-22,neutral,21
2017-06-22,positive,7
2017-06-23,negative,10
2017-06-23,neutral,40
2017-06-23,positive,3
2017-06-24,positive,3
2017-06-26,neutral,21
2017-06-26,positive,6
2017-06-27,negative,21
2017-06-27,neutral,36
2017-06-27,positive,6
2017-06-28,negative,9
2017-06-28,neutral,27
2017-06-28,positive,9
2017-06-29,negative,14
2017-06-29,neutral,35
2017-06-29,positive,17
2017-06-30,negative,14
2017-06-30,neutral,14
2017-06-30,positive,21
2017-07-01,negative,23
2017-07-01,neutral,9
2017-07-01,positive,4
2017-07-02,neutral,2
2017-07-03,negative,4
2017-07-03,neutral,8
2017-07-03,positive,2
2017-07-04,negative,2
2017-07-04,neutral,2
2017-07-05,neutral,22
2017-07-06,negative,6
2017-07-06,neutral,20
2017-07-06,positive,7
2017-07-07,neutral,20
2017-07-07,positive,16
2017-07-08,neutral,8
2017-07-08,positive,6
2017-07-09,negative,6
2017-07-10,neutral,24
2017-07-10,positive,18
2017-07-11,negative,10
2017-07-11,neutral,14
2017-07-11,positive,8
2017-07-12,negative,4
2017-07-12,neutral,4
2017-07-13,negative,5
2017-07-13,neutral,26
2017-07-13,positive,4
2017-07-14,neutral,20
2017-07-14,positive,21
2017-07-15,neutral,9
2017-07-15,positive,3
2017-07-17,negative,6
2017-07-17,neutral,15
2017-07-17,positive,6
2017-07-18,negative,8
2017-07-18,neutral,12
2017-07-18,positive,8
2017-07-19,negative,4
2017-07-19,neutral,20
2017-07-19,positive,12
2017-07-20,negative,8
2017-07-20,neutral,23
2017-07-20,positive,12
2017-07-21,neutral,6
2017-07-21,positive,9
2017-07-22,negative,3
2017-07-22,neutral,9
2017-07-23,negative,2
2017-07-23,neutral,2
2017-07-24,negative,4
2017-07-24,neutral,10
2017-07-24,positive,2
2017-07-25,negative,2
2017-07-25,neutral,16
2017-07-25,positive,2
2017-07-26,negative,32
2017-07-26,neutral,72
2017-07-26,positive,16
2017-07-27,negative,2
2017-07-27,neutral,20
2017-07-27,positive,10
2017-07-28,negative,5
2017-07-28,neutral,35
2017-07-28,positive,7
2017-07-29,negative,5
2017-07-29,neutral,10
2017-07-31,neutral,19
2017-07-31,positive,9
2017-08-01,negative,7
2017-08-01,neutral,12
2017-08-01,positive,3
2017-08-02,neutral,16
2017-08-02,positive,8
2017-08-03,negative,8
2017-08-03,neutral,8
2017-08-03,positive,4
2017-08-04,negative,14
2017-08-04,neutral,10
2017-08-04,positive,2
2017-08-05,neutral,4
2017-08-05,positive,2
2017-08-06,neutral,2
2017-08-07,neutral,4
2017-08-07,positive,4
2017-08-08,negative,5
2017-08-08,neutral,10
2017-08-09,neutral,15
2017-08-09,positive,5
2017-08-10,negative,15
2017-08-10,neutral,10
2017-08-11,neutral,6
2017-08-11,positive,6
2017-08-12,neutral,6
2017-08-12,positive,3
2017-08-13,positive,3
2017-08-14,neutral,9
2017-08-14,positive,6
2017-08-15,neutral,10
2017-08-15,positive,30
2017-08-16,neutral,15
2017-08-16,positive,10
2017-08-17,neutral,15
2017-08-17,positive,20
2017-08-18,positive,21
2017-08-19,neutral,3
2017-08-20,neutral,3
2017-08-20,positive,3
2017-08-21,neutral,17
2017-08-21,positive,8
2017-08-22,negative,6
2017-08-22,neutral,4
2017-08-22,positive,2
2017-08-23,negative,2
2017-08-23,neutral,4
2017-08-23,positive,2
2017-08-24,negative,2
2017-08-24,neutral,6
2017-08-24,positive,2
2017-08-25,neutral,16
2017-08-25,positive,49
2017-08-26,neutral,7
2017-08-26,positive,21
2017-08-27,negative,2
2017-08-27,neutral,2
2017-08-27,positive,2
2017-08-28,neutral,6
2017-08-28,positive,6
2017-08-29,neutral,11
2017-08-29,positive,2
2017-08-30,negative,6
2017-08-30,neutral,6
2017-08-30,positive,3
2017-08-31,negative,3
2017-08-31,positive,6
2017-09-01,negative,3
2017-09-01,neutral,21
2017-09-01,positive,6
2017-09-02,neutral,6
2017-09-03,neutral,3
2017-09-04,negative,6
2017-09-04,neutral,3
2017-09-05,negative,6
2017-09-05,neutral,12
2017-09-05,positive,12
2017-09-06,neutral,24
2017-09-07,negative,3
2017-09-07,neutral,9
2017-09-08,neutral,12
2017-09-08,positive,9
2017-09-09,negative,6
2017-09-09,neutral,9
2017-09-10,neutral,6
2017-09-11,negative,6
2017-09-11,neutral,18
2017-09-11,positive,6
2017-09-12,negative,6
2017-09-12,neutral,2
2017-09-12,positive,2
2017-09-13,neutral,2
2017-09-13,positive,2
2017-09-14,negative,4
2017-09-14,positive,2
2017-09-15,neutral,18
2017-09-15,positive,4
2017-09-16,negative,4
2017-09-18,negative,12
2017-09-18,neutral,4
2017-09-18,positive,4
2017-09-19,negative,12
2017-09-19,neutral,4
2017-09-19,positive,3
2017-09-20,negative,6
2017-09-20,positive,6
2017-09-21,negative,3
2017-09-21,neutral,6
2017-09-21,positive,3
2017-09-22,negative,3
2017-09-22,neutral,9
2017-09-23,negative,3
2017-09-24,neutral,7
2017-09-25,neutral,8
2017-09-25,positive,4
2017-09-26,negative,12
2017-09-26,neutral,8
2017-09-26,positive,12
2017-09-27,neutral,9
2017-09-27,positive,4
2017-09-28,negative,3
2017-09-28,neutral,6
2017-09-28,positive,3
2017-09-29,negative,6
2017-09-29,neutral,12
2017-09-29,positive,6
2017-09-30,neutral,3
2017-10-01,neutral,21
2017-10-02,negative,7
2017-10-02,neutral,14
2017-10-02,positive,14
2017-10-03,negative,16
2017-10-03,neutral,21
2017-10-03,positive,7
2017-10-04,neutral,2
2017-10-04,positive,4
2017-10-05,neutral,6
2017-10-06,negative,4
2017-10-06,neutral,4
2017-10-06,positive,2
2017-10-07,negative,6
2017-10-07,neutral,3
2017-10-08,neutral,3
2017-10-08,positive,6
2017-10-09,neutral,6
2017-10-09,positive,3
2017-10-10,neutral,9
2017-10-10,positive,3
2017-10-11,negative,3
2017-10-11,neutral,11
2017-10-11,positive,3
2017-10-12,negative,5
2017-10-12,neutral,10
2017-10-12,positive,5
2017-10-13,negative,5
2017-10-13,neutral,40
2017-10-13,positive,5
2017-10-14,neutral,14
2017-10-15,neutral,4
2017-10-15,positive,4
2017-10-16,neutral,16
2017-10-16,positive,4
